YEAR,GDP_CP,"Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]"
1980,322.782,"Source: National Statistics Office Latest actual data: 2023 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 03/2024"
1981,368.358,
1982,388.181,
1983,421.316,
1984,461.986,
1985,500.027,
1986,526.63,
1987,574.336,
1988,626.894,
1989,671.579,
1990,695.501,
1991,701.773,
1992,718.436,
1993,747.037,
1994,791.972,
1995,831.621,
1996,859.834,
1997,906.926,
1998,940.548,
1999,"1,007.93",
2000,"1,106.07",
2001,"1,144.54",
2002,"1,193.69",
2003,"1,254.75",
2004,"1,335.73",
2005,"1,421.59",
2006,"1,496.60",
2007,"1,577.66",
2008,"1,657.04",
2009,"1,571.33",
2010,"1,666.05",
2011,"1,774.06",
2012,"1,827.20",
2013,"1,902.25",
2014,"1,994.90",
2015,"1,990.44",
2016,"2,025.54",
2017,"2,140.64",
2018,"2,235.68",
2019,"2,313.56",
2020,"2,220.53",
2021,"2,517.12",
2022,"2,813.29",
2023,"2,888.92",
